road_id,name,highway,lanes,maxspeed,surface,oneway,bridge,tunnel,osm_id,length_m,geometry_wkt
687,,service,,,,,,,way/30029204,140.97,"LINESTRING (80.2284 12.990882400384168, 80.2277236 12.9908627, 80.2277266 12.9902521)"
688,,service,,,,,,,way/30029206,75.21,"LINESTRING (80.2284 12.988802811829121, 80.2280185 12.9882352)"
689,Playfield Avenue,service,,,asphalt,,,,way/30029209,119.45,"LINESTRING (80.2278409 12.9898696, 80.227879 12.9897978, 80.2280153 12.9894627, 80.228133 12.9892125, 80.2283239 12.9890146, 80.2284 12.98896413527466)"
690,Aerospace Engineering road,living_street,,20,asphalt,,,,way/30029210,115.36,"LINESTRING (80.2284 12.99156266273721, 80.2273367 12.9915499)"
691,,service,,,,,,,way/30029214,41.89,"LINESTRING (80.227332 12.9921006, 80.2271895 12.9923, 80.22709684463277 12.9924)"
692,,service,,,,,,,way/30029245,101.55,"LINESTRING (80.2261963 12.9901153, 80.2262154 12.9891976)"
693,,residential,,,,,,,way/30029246,114.2,"LINESTRING (80.2223986 12.9886651, 80.2226086 12.989031, 80.2228745 12.9895851)"
694,,residential,,,,,,,way/30029249,154.04,"LINESTRING (80.2226086 12.989031, 80.2229019 12.9887585, 80.2230624 12.9886133, 80.223191 12.9885309, 80.223188 12.988398, 80.2231701 12.9881357, 80.2231321 12.9879031)"
695,Sony Nagar 1st Street,residential,,,,,,,way/30029251,115.59,"LINESTRING (80.2281449 12.9858832, 80.2281813 12.9863158, 80.2282384 12.986924)"
696,Sony Nagar 2nd Street,residential,,,,,,,way/30029255,91.61,"LINESTRING (80.2281813 12.9863158, 80.227568 12.9864925, 80.2274852 12.9865186, 80.2273695 12.9865424)"
697,,service,,,,,,,way/30037409,56.29,"LINESTRING (80.2277585 12.9882745, 80.2280185 12.9882352, 80.2282689 12.9881842)"
698,,service,,,,,,,way/30038517,68.62,"LINESTRING (80.2273388 12.9916457, 80.2270396 12.9916525, 80.2270396 12.9919793)"
699,,residential,,,,,,,way/30596411,153.34,"LINESTRING (80.208306 12.9638634, 80.2069127 12.9640957)"
700,,residential,,,,,,,way/30596414,264.86,"LINESTRING (80.2031762 12.9793872, 80.202126 12.9797206, 80.2018579 12.979827, 80.2013908 12.9798954, 80.200826 12.9800055)"
701,Street in Tansi Nagar (anna nagar) Velachery,residential,,,,,,,way/30596415,187.05,"LINESTRING (80.2250848 12.9748448, 80.2260006 12.9748515, 80.2264216 12.9748861, 80.226806 12.9749176)"
702,Amman Koil Street,residential,,,,,,,way/30596539,292.91,"LINESTRING (80.2123318 12.983173, 80.2117985 12.9831438, 80.2117791 12.9831428, 80.2117653 12.983146, 80.21176 12.9831595, 80.2117576 12.9831745, 80.2117183 12.9837493, 80.2116992 12.983839, 80.211669 12.9843071, 80.2116553 12.9844527, 80.2116644 12.9846804, 80.21166 12.9847935, 80.2116851 12.98523)"
703,Yamunai Street,residential,,,,,,,way/30596855,195.53,"LINESTRING (80.207351 12.9685635, 80.2091405 12.9683547)"
704,,residential,,,,,,,way/30596856,296.16,"LINESTRING (80.2093131 12.9712748, 80.2103395 12.9711638, 80.2120179 12.9709179)"
705,,residential,,,,,,,way/30596857,104.93,"LINESTRING (80.2052204 12.9687307, 80.2051113 12.968317, 80.2049968 12.9678081)"
706,,residential,,,,,,,way/30596860,410.26,"LINESTRING (80.2018479 12.9658721, 80.2018268 12.9659395, 80.202122 12.9664411, 80.2023642 12.9669385, 80.2026713 12.9674338, 80.2028425 12.9677978, 80.2030575 12.9681501, 80.2031903 12.9684102, 80.2032147 12.9684383, 80.2032426 12.9684488, 80.2032644 12.9684496, 80.2038304 12.9684059, 80.2040145 12.9683917)"
707,,residential,,,,,,,way/30596863,120.42,"LINESTRING (80.2023642 12.9669385, 80.2028668 12.9668485, 80.2031793 12.9668041, 80.2034622 12.966791)"
708,Main Road,residential,,,,,,,way/30596864,119.38,"LINESTRING (80.2026713 12.9674338, 80.203744 12.9671936)"
709,1st Street,residential,,,,,,,way/30596865,112.3,"LINESTRING (80.2028425 12.9677978, 80.203843 12.9675378)"
710,,residential,,,,,,,way/30596866,97.9,"LINESTRING (80.2030575 12.9681501, 80.2038023 12.9680424, 80.2039495 12.9680169)"
711,1st steet extension,residential,,,,,,,way/30596868,130.22,"LINESTRING (80.206327 12.970035, 80.2075157 12.9698721)"
712,,residential,,,,,,,way/30596870,92.22,"LINESTRING (80.2012055 12.9737991, 80.2013309 12.9737826, 80.2016951 12.9737346, 80.2020479 12.9736881)"
713,,residential,,,,,,,way/30596871,137.97,"LINESTRING (80.2012055 12.9737991, 80.2012919 12.9744027, 80.2013016 12.9744855, 80.2012782 12.9745343, 80.2012462 12.9745506, 80.2010114 12.9745356, 80.2009295 12.9745529, 80.2008748 12.9746075, 80.2008356 12.9746725)"
714,,residential,,,,,,,way/30596872,199.56,"LINESTRING (80.1991112 12.9738934, 80.2005491 12.9737613, 80.2007881 12.973757, 80.200944 12.9737494)"
715,Eswaran Koil Street,residential,,,,,,,way/30596873,812.5,"LINESTRING (80.2032006 12.9737516, 80.2021413 12.9738558, 80.2020479 12.9736881, 80.2019723 12.9733388, 80.2019125 12.9730626, 80.2018072 12.9726544, 80.2017295 12.9725335, 80.201633 12.9724629, 80.2011582 12.9724002, 80.2008077 12.972421, 80.1992782 12.9726693, 80.1991689 12.9727558, 80.1989662 12.9727978, 80.1981943 12.9729523, 80.1978028 12.973, 80.197418 12.9730517, 80.196837 12.9730978)"
716,,residential,,,,,,,way/30596875,237.4,"LINESTRING (80.1991448 12.9745025, 80.1991131 12.9740639, 80.1991112 12.9738934, 80.1987127 12.9736875, 80.1986825 12.9736587, 80.1986108 12.97356, 80.1985746 12.9735424, 80.1982861 12.9735542, 80.1981943 12.9729523)"
717,,residential,,,,,,,way/30596876,107.99,"LINESTRING (80.197418 12.9730517, 80.1974711 12.9734071, 80.1975017 12.973609, 80.1975191 12.9736345, 80.1975406 12.9736528, 80.1975822 12.9736666, 80.1978902 12.9735918)"
718,,residential,,,,,,,way/30596877,61.31,"LINESTRING (80.1974711 12.9734071, 80.1969085 12.9734591)"
719,,residential,,,,,,,way/30596878,66.15,"LINESTRING (80.1978028 12.973, 80.1978902 12.9735918)"
720,,residential,,,,,,,way/30596881,182.69,"LINESTRING (80.2019125 12.9730626, 80.2023738 12.9730002, 80.2025462 12.9729733, 80.2026361 12.9729536, 80.2026562 12.9729086, 80.2026539 12.9727956, 80.2026334 12.9725864, 80.2025838 12.9725426, 80.2025114 12.9725263, 80.2020833 12.9725734)"
721,,residential,,,,,,,way/30596884,76.24,"LINESTRING (80.201633 12.9724629, 80.2018878 12.9723675, 80.2019508 12.9723192, 80.2020028 12.9722181, 80.2019844 12.9719888)"
722,,residential,,,,,,,way/30596885,186.01,"LINESTRING (80.2027398 12.9716408, 80.2027085 12.9718494, 80.2026529 12.9719245, 80.2024203 12.97194, 80.2019844 12.9719888, 80.2012571 12.972078)"
723,,residential,,,,,,,way/30597361,127.99,"LINESTRING (80.2053884 12.9741776, 80.2042957 12.9742553, 80.2042716 12.974235, 80.2042454 12.9741906)"
724,Balaji Nagar 28th Street,residential,,,,,,,way/30597365,98.19,"LINESTRING (80.2042248 12.9740548, 80.2033243 12.9741433)"
725,,residential,,,,,,,way/30597367,152.66,"LINESTRING (80.2042454 12.9741906, 80.2042248 12.9740548, 80.2041294 12.9734235, 80.2041124 12.9733936, 80.2040948 12.9733833, 80.2040514 12.9733832, 80.2035371 12.97344)"
726,,residential,,,,,,,way/30597368,20.56,"LINESTRING (80.2023738 12.9730002, 80.2023941 12.973185)"
727,,residential,,,,,,,way/30597369,38.21,"LINESTRING (80.2026539 12.9727956, 80.2030049 12.9727673)"
728,Sivaprakash Nagar First Street,residential,2,,,,,,way/30597370,233.39,"LINESTRING (80.2061845 12.9725803, 80.2061879 12.9722545, 80.2061861 12.9720482, 80.2062128 12.9720134, 80.2062477 12.9719924, 80.2065137 12.9719542, 80.2069674 12.9718955, 80.2077555 12.9717807)"
729,,residential,,,,,,,way/30597371,241.27,"LINESTRING (80.2071128 12.9745956, 80.2070387 12.974204, 80.2069627 12.9736563, 80.2069488 12.9733918, 80.207378 12.9733836, 80.2075889 12.9733755, 80.2079322 12.9733607)"
730,,residential,,,,,,,way/30597372,139.03,"LINESTRING (80.207378 12.9733836, 80.2073986 12.9735827, 80.2075289 12.9741855, 80.2075646 12.9746245)"
731,,residential,,,,yes,,,way/30597373,122.45,"LINESTRING (80.2084109 12.9747899, 80.2083532 12.9747229, 80.2082921 12.9746857, 80.2080867 12.9746971, 80.2079562 12.9747105, 80.2078937 12.9740954)"
732,Balaji Nagar 25th Street,residential,,,,,,,way/30597374,127.42,"LINESTRING (80.2065882 12.9744382, 80.2058917 12.974489, 80.2054173 12.9745272)"
733,,residential,,,,,,,way/30597375,75.87,"LINESTRING (80.2065377 12.9739796, 80.2058415 12.9740439)"
734,Balaji Nagar 32nd Street,residential,,,,,,,way/30597376,99.1,"LINESTRING (80.2058917 12.974489, 80.2058415 12.9740439, 80.2058188 12.9735965)"
